Timestamp,What's the link to the job posting?,Do you have any additional information to include with the post to entice someone to click through? (Recommended),Would you like to include a salary range?,Salary range,Employer name,Job title,Working style,,Do you have anything about the total compensation available at your company you'd like to share?,"Starting November 1, 2023 changes to BC law will mean salary ranges will be mandatory for all job postings for companies of all sizes.
Timestamp,What's the link to the job posting?,Do you have any additional information to include with the post to entice someone to click through? (Recommended),Would you like to include a salary range?,Salary range,Employer name,Job title,Working style,,Do you have anything about the total compensation available at your company you'd like to share?,"Starting November 1, 2023 changes to BC law will mean salary ranges will be mandatory for all job postings for companies of all sizes. 

Please share what your organizational plan is to comply with this new law.","If you'd like to be contacted with questions about this job posting, please share the Slack handle(s) of who to reach out to",What type of role is this?,Visa sponsorship,Hiring process,,Comp low,Comp high
10/15/2025 14:13:11,https://www.linkedin.com/jobs/view/4314562261/,"AI related Startup. This is a $0 salary, equity-only opportunity for at least 6-12 months. ",,$0 (Equity-Only),FlowEdge,Co-Founder/CTO - Full-Stack React/TypeScript Developer (Equity-Only),Fully remote,,Equity Only. More information during the initial interview.,,,Full-time,Open to asking,2-3 online or in person inteviews,,,
10/15/2025 8:34:20,https://fa-exby-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1013/jobs/preview/135,"Open for applications until November 3, 2025.",,"$88,700.23 to $125,700.07 per annum",BC Pension Corporation,End User IT Services Lead,Flexible remote/office hybrid schedule,,,,,Full-time,No,https://www.bcpensioncorp.ca/documents/1050273/1050314/BCPC-hiring-process.pdf,,,
9/24/2025 10:09:44,https://fa-exby-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1013,"Apply by October 5, 2025",," $99,785.94 to $113,949.97 per annum (salary includes a 9.9% temporary market adjustment)",BC Pension Corporation,Service Desk Lead,Flexible remote/office hybrid schedule,,"We are seeking a Service Desk Lead to join our team in VICTORIA, British Columbia, Canada.  ",,cecilia.estradaespinosa@pensionsbc.ca,Full-time,No,Please see our hiring process here: https://www.bcpensioncorp.ca/documents/1050273/1050314/BCPC-hiring-process.pdf,,,
9/24/2025 10:07:12,https://fa-exby-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1013,"Closing October 13, 2025.",," $88,700.23 to $125,700.07 per annum",BC Pension Corporation,Microsoft 365 Solutions Lead,Flexible remote/office hybrid schedule,,"We are seeking a Microsoft 365 Solutions Lead to join our team in VICTORIA, British Columbia, Canada.  ",,cecilia.estradaespinosa@pensionsbc.ca,Full-time,No,Please see our hiring process here: https://www.bcpensioncorp.ca/documents/1050273/1050314/BCPC-hiring-process.pdf,,,
9/23/2025 19:31:35,https://www.metabytelabs.com/careers/web3-developer,"🚨 We’re hiring a Senior Web3/React.js Developer to help us scale token sale app — a real-world token presale and staking platform that connects crypto with actual services like food preorders and loyalty rewards.

You’ll be joining a lean, focused team building the next phase of our dApp — including staking mechanics, on-chain rewards, and seamless user dashboards.

Role Details:
- Position: Senior Software Developer (Solidity / Frontend / Full Stack)
- Tech Stack: ethers.js, Solidity, React, TypeScript, Node.js, Vite
- Work Type: Fully Remote, async-friendly

What We’re Looking For:
- Experienced blockchain devs with Solidity and smart contract expertise
- Engineers comfortable working across the stack — React.js/TypeScript + backend APIs
- Frontend developers with deep React.js/Next.js experience and Web3 integration exposure
- Clean, well-structured code habits and Git proficiency
- A team-first, async-friendly, product-focused mindset
- Experience working with existing codebases and iterating fast

NDA is required prior to codebase access and technical call.",,$120k–$250k/year USD equivalent (based on experience & specialization),MetaByte Labs,Senior Web3/React.js Developer – Token Presale dApp,Fully remote,,"5 weeks PTO, company’s bonus plan",,,Full-time,No,"Multiple stages - NDA, technical interview, final interview",,,
9/15/2025 15:59:35,https://jobs.lever.co/goswift/5adc8bf3-5571-4b98-8b57-8fd1be952e46?lever-origin=applied&lever-source%5B%5D=Canadian%20Slacks,"Engineering at Swiftly
Engineering at Swiftly is not only about writing code – we believe in creating empowered product teams that work together to conceptualize new features and bring them to life. Each team aims to strike a balance between delivering incremental improvements, creating prototypes to test new ideas and mitigate risks, and building scalable software using industry best practices. We’re guided by a mission to positively impact transit riders, and we embrace humility and intentionality in how we make technical decisions so that we best meet our customers’ needs.",,"140,000 - $200,000 CAD",Swiftly,Senior Software Engineer - Front End,Fully remote,,"Benefits:
• Competitive salary
• Equity compensation (company ownership) for every employee
• Medical, Dental and Vision
• Retirement with Employer Match
• Flexible Spending Account (FSA)
• Home office setup reimbursement
• Monthly cell/internet reimbursement
• Monthly ""Be Well"" stipend
• Flexible PTO with a recommended minimum
• Flexible work environment
• 16 paid holidays - including months without US national holidays
• 8 fully paid weeks of leave for child birth/adoption",,@alannag,Full-time,No,,,,
9/15/2025 15:58:02,https://jobs.lever.co/goswift/95ead2ab-5230-49e0-999c-7f2115fdf75a?lever-origin=applied&lever-source%5B%5D=Canadian%20Slacks,"Swiftly is on a mission to help cities move more efficiently. We are the leading transit data platform for agencies to share real-time passenger information, manage day-to-day operations, and improve service performance. Today, over 180 transit agencies in 11 countries – including LA Metro, MARTA, SEPTA, and MBTA – rely on Swiftly to improve on-time performance by up to 40% and increase passenger information accuracy by up to 50%. The result is better service reliability, increased ridership, and more efficient transit operations.",,"$140,000 - $200,000 CAD",Swiftly,Senior Software Engineer - Fullstack,Fully remote,,"**Benefits**

- Competitive salary
- Equity compensation for every employee
- Medical, Dental and Vision
- Retirement with Employer Match
- Flexible Spending Account (FSA)
- Home office setup reimbursement
- Monthly cell/internet reimbursement
- Monthly ""Be Well"" stipend
- Flexible PTO with a recommended minimum
- Flexible work environment
- 16 paid holidays, including holidays in months without US national holidays
- 8 fully paid weeks of leave for child birth/adoption",,@alannag,Full-time,No,,,,
9/15/2025 7:10:37,https://docs.google.com/document/d/1stSCEXt4jVeUp-e3ihociVrMeXneI82y62zDXLTs2to/edit?usp=sharing,"
Ground to Grow offers mindfulness-based emotional support to individuals navigating the incredible challenges of trying to conceive. Our work is rooted in compassion, science, and lived experience—and we’re now preparing to share it with more people.",,$25–$35/hr,Stephanie Curran (Ground to Grow) ,"Marketing Coordinator (Part-Time, Remote)",Fully remote,,"We’re a small, values-driven team that believes in working smart, staying curious, and embracing innovation. As AI continues to transform the way we create and connect, we’re excited to bring on someone who’s eager to explore emerging tools and help us stay ahead of the curve—while keeping heart and mission at the center of all we do.
",,,Part-time,No,To apply please email scurran@elementscentre.ca,,,
9/12/2025 17:27:22,https://jobs.lever.co/goswift/ef74941b-e9c2-4ec9-ab0d-36e4a93a6d55?lever-origin=applied&lever-source%5B%5D=Canadian%20Slacks,"Swiftly is on a mission to help cities move more efficiently. We are the leading transit data platform for agencies to share real-time passenger information, manage day-to-day operations, and improve service performance. Today, over 180 transit agencies in 11 countries – including LA Metro, MARTA, SEPTA, and MBTA – rely on Swiftly to improve on-time performance by up to 40% and increase passenger information accuracy by up to 50%. The result is better service reliability, increased ridership, and more efficient transit operations.",,"$130,000 - $200,000 - this is a wide range, as we are open to speaking with people who have a variety of experience",Swiftly,Lead Product Designer,Fully remote,,"• Competitive salary
• Equity compensation for every employee
• Medical, Dental and Vision
• Retirement with Employer Match
• Flexible Spending Account (FSA)
• Home office setup reimbursement
• Monthly cell/internet reimbursement
• Monthly ""Be Well"" stipend
• Flexible PTO with a recommended minimum
• Flexible work environment
• 16 paid holidays, including holidays in months without stats
• 8 fully paid weeks of leave for child birth/adoption",,@AlannaG,Full-time,Yes,,,,
9/12/2025 17:25:47,https://jobs.lever.co/goswift/ef7a120c-bbbf-4ccc-884b-610bb156058c?lever-origin=applied&lever-source%5B%5D=Canadian%20Slacks,"Swiftly is on a mission to help cities move more efficiently. We are the leading transit data platform for agencies to share real-time passenger information, manage day-to-day operations, and improve service performance. Today, over 180 transit agencies in 11 countries – including LA Metro, MARTA, SEPTA, and MBTA – rely on Swiftly to improve on-time performance by up to 40% and increase passenger information accuracy by up to 50%. The result is better service reliability, increased ridership, and more efficient transit operations.",,"$160,000 - $200,000 ",Swiftly,Senior Product Manager,Fully remote,,"Benefits:
• Competitive salary
• Equity compensation for every employee
• Medical, Dental and Vision
• Retirement with Employer Match
• Flexible Spending Account (FSA)
• Home office setup reimbursement
• Monthly cell/internet reimbursement
• Monthly ""Be Well"" stipend
• Flexible PTO with a recommended minimum
• Flexible work environment
• 16 paid holidays, including holidays in months without stats
• 8 fully paid weeks of leave for child birth/adoption",,@AlannaG,Full-time,No,,,,
9/5/2025 11:47:03,https://www.codex.io/careers/full-stack,"The world is building a new financial system — we believe that for it to succeed, it needs fast and accurate data that people can trust. Our infrastructure already powers giants like Coinbase, MoonPay, Uniswap, TradingView and hundreds more. We’re in a growth period where every month has been more exciting than the last.

The Codex culture is that of trust, fun, and constant improvement. Ideas move from concept to production in a matter of days, not months. We are a small team that knows the best work is done when deep work is possible, inefficient meetings are removed, and creativity is fostered.
‍
We're looking for a Full Stack Developer to join our team and play a key role in building the next generation of our user-facing web app (defined.fi) that was created to help dogfood our API product (codex.io). You'll design and deliver elegant and impactful solutions on a cutting-edge front-end stack, with the agency to dive deeper into the Codex API stack as you see fit. You’ll help shape products used by millions of people worldwide.",,$140K - 160K,Codex,Senior Full Stack Developer,Flexible remote/office hybrid schedule,,"* Stock options
* Full benefits (health, vision, dental)
* New laptop and whatever accessories you need
* Daily free lunches
* Flexible hours
* Generous vacation
* Gym membership
* Maternity/paternity top-up
* Overly competitive foosball",,@mike,Full-time,No,Send your resume and a brief note about why you're interested to mike@codex.io.,,,
9/3/2025 11:40:19,https://uvic.mua.hrdepartment.com/hr/ats/Posting/view/12505,"We operate OpenStack as our IaaS cloud platform, with multiple deployments including the Arbutus Cloud - Canada's largest research cloud service, operated in partnership with the Digital Research Alliance of Canada. We also operate a number of Kubernetes clusters both within OpenStack and on bare metal, including large deployments serving national and international research projects in physics and astronomy.

I joined the team last April, and have been incredibly impressed with the team and work being done. We are operating a non trivial cloud platform (~35,000 cores, 300TB memory, 40TB storage) that is relied upon by significant research groups such as CADC and CERN.",,"$91,290.00 - $118,764.00 ",University of Victoria - Research Computing Services,Senior Advanced Research Computing Systems Administrator,Fixed office/hybrid schedule,,"Additional $5,700 Market Adjustment + 22 days Vacation (after first year). The position is listed as a two-year term and has every intention to transition into Permanent Full Time.",,@Shaun Bathgate ,Full-time,No,"You can apply through the UVic hiring portal, where the hiring team will review applicants. Process usually occurs in three stages:
- Initial telephone call
- Panel Interview #1 (General + Technical Questions)
- Panel Interview #2 (Small take home that is presented and discussed)
- Offer ",,,
8/27/2025 12:48:26,https://www.linkedin.com/jobs/view/4291391210/,"Established company (20+ years in operation), clear and achievable expectations for the role, uncapped commission, small and helpful team.",,"$80,000-$90,000",FlexiBake,Customer Success Specialist (ERP Implementations & Account Manager),Fully remote,,"Extended health, flexible hours, paid international travel for on-site implementations.",,,Full-time,No,"Multiple stages - pre-screen call, technical interview, selection test, final interview. ",,,
8/19/2025 15:36:28,https://www.codex.io/careers/devops,"The world is building a new financial system — we believe that for it to succeed, it needs fast and accurate data that people can trust. Our infrastructure already powers giants like Coinbase, MoonPay, Uniswap, TradingView and hundreds more. We’re in a growth period where every month has been more exciting than the last.

The Codex culture is that of trust, fun, and constant improvement. Ideas move from concept to production in a matter of days, not months. We are a small team that knows the best work is done when deep work is possible, inefficient meetings are removed, and creativity is fostered.

We're looking for a Senior DevOps Engineer to join our team to influence and implement engineering efforts across various domains such as indexing, federated GraphQL, and observability. You'll have the agency to deploy solutions meaningfully impacting millions of people worldwide depending on our services.  

We have a spacious office in Market Square with flexible hybrid and remote work options available, though you must be Canadian.",,$160K - $200K,Codex,Senior DevOps Engineer,Flexible remote/office hybrid schedule,,"* Stock options
* Full benefits (health, vision, dental)
* New laptop and whatever accessories you need
* Daily free lunches
* Flexible hours
* Generous vacation
* Gym membership
* Maternity/paternity top-up
* Overly competitive foosball",,@mike,Full-time,No,Send your resume and a brief note about why you're interested to mike@codex.io.,,,
8/19/2025 13:16:14,https://members.viatec.ca/job-board/Details/lead-technical-developer-for-idle-champions-283578,"Codename Entertainment is an award-winning, people-first game studio in Victoria, BC.  We're a work environment focused on making fun games and making work fun!  We have a great opportunity for someone looking to step into the next stage of their career and be the Technical Lead on our flagship game, Idle Champions.  This role is a great opportunity to stretch your technical skills, contribute your voice to game development, and lead a team.
While the position will remain open until filled, we'll begin reviewing applications on Monday, September 8, 2025.
Not certain if you'd be a good fit for the role or not?  We'd still encourage you to apply.  We recognize that the best candidates come from diverse backgrounds and experiences.",,"$98,000–$115,000/year",Codename Entertainment,Lead Technical Developer,Fully in-office,,"Comprehensive employer-paid health, dental, and life insurance benefits
Paid-time Off: 3 weeks vacation (increasing to 4 weeks after 1 year), 6 sick days, and 4 personal days, with the ability to carry forward unused time off
Additional Perks: Annual funding for PD & games; mentorship program with industry professionals; people-first work environment!",,,Full-time,No,"Pre-screen interview with HR
Technical Competency Assessment & Interview
Behavioural Interview
Meet & Greet with owners + direct reports",,,
8/19/2025 12:49:23,https://members.viatec.ca/job-board/Details/lead-technical-developer-for-idle-champions-283578,"Codename Entertainment is an award-winning, people-first game studio in Victoria, BC.  We're a work environment focused on making fun games and making work fun!  We have a great opportunity for someone looking to step into the next stage of their career and be the Technical Lead on our flagship game, Idle Champions.  This role is a great opportunity to stretch your technical skills, contribute your voice to game development, and lead a team.

While the position will remain open until filled, we'll begin reviewing applications on Monday, September 8, 2025.

Not certain if you'd be a good fit for the role or not?  We'd still encourage you to apply.  We recognize that the best candidates come from diverse backgrounds and experiences.",,"$98,000–$115,000/year",Elisa Behn,People & Culture Director,Fully in-office,,"Benefits: Comprehensive employer-paid health, dental, and life insurance benefits
Paid-time Off: 3 weeks vacation (increasing to 4 weeks after 1 year), 6 sick days, and 4 personal days, with the ability to carry forward unused time off
Additional Perks: Annual funding for PD & games; mentorship program with industry professionals; people-first work environment!",,,Full-time,No,"Pre-screen interview with HR
Technical Competency Assessment & Interview
Behavioural Interview
Meet & Greet with owners + direct reports",,,
8/13/2025 17:02:30,https://workday.wd5.myworkdayjobs.com/Workday/job/Canada-BC-Victoria/Sr-Software-Development-Engineer---Communications-Delivery_JR-0099323-1,"Workday has shockingly thorough training for managers. If you want a manager who actually supports your career growth, come here. The kind of scale we deal with also causes some really interesting technical problems :)",,"$132,800 - $199,200 CAD",Workday,Senior Software Development Engineer - Communications Delivery,Flexible remote/office hybrid schedule,,"5 weeks PTO, RSUs (the new hire grant is especially generous)",,mel.reams@workday.com,Full-time,No,"- HR Screen
- Talk with manager (Mel)
- 2 technical interviews with devs and 1 behavioural interview with product management",,,
8/5/2025 15:10:43,https://jobs.ea.com/en_US/careers/JobDetail/Advanced-Online-Services-Engineer-American-Football/207935,"EA SPORTS is one of the leading sports entertainment brands in the world, with top-selling videogame franchises, award-winning interactive technology, fan programs, and cross-platform digital experiences. EA SPORTS creates connected experiences that ignite the emotion of sport through industry-leading sports video games, including Madden NFL football, EA Sports FC soccer, NHL® hockey, EA SPORTS UFC, and Super Mega Baseball.",,"$119,600 - $167,300",Electronic Arts (Metalhead Studio),Online Services Engineer,Fixed office/hybrid schedule,,"In British Columbia, we offer a package of benefits including vacation (3 weeks per year to start), 10 days per year of sick time, paid top-up to EI/QPIP benefits up to 100% of base salary when you welcome a new child (12 weeks for maternity, and 4 weeks for parental/adoption leave), extended health/dental/vision coverage, life insurance, disability insurance, retirement plan to regular full-time employees. Certain roles may also be eligible for bonus and equity.",,@curtis,Full-time,Open to asking,,,,
